Donor_ID,Name,Age,Gender,Blood_Group,City,Phone,Donation_Count,Last_Donation_Year,Availability
D1001,Donor_D1001,47,Female,O+,Kolkata,XXXXXXXXXX,8,2023,Not Available
D1002,Donor_D1002,22,Female,O+,Pune,XXXXXXXXXX,5,2025,Available
D1003,Donor_D1003,29,Female,O-,Noida,XXXXXXXXXX,3,2025,Available
D1004,Donor_D1004,33,Female,O+,Pune,XXXXXXXXXX,6,2022,Available
D1005,Donor_D1005,43,Female,B+,Lucknow,XXXXXXXXXX,4,2025,Available
D1006,Donor_D1006,43,Female,AB-,Jaipur,XXXXXXXXXX,9,2022,Not Available
D1007,Donor_D1007,38,Female,O-,Lucknow,XXXXXXXXXX,3,2025,Not Available
D1008,Donor_D1008,56,Female,O-,Delhi,XXXXXXXXXX,4,2025,Not Available
D1009,Donor_D1009,53,Male,B-,Lucknow,XXXXXXXXXX,7,2022,Not Available
D1010,Donor_D1010,50,Female,O-,Delhi,XXXXXXXXXX,7,2024,Not Available
D1011,Donor_D1011,47,Female,B-,Delhi,XXXXXXXXXX,4,2025,Not Available
D1012,Donor_D1012,54,Female,O-,Noida,XXXXXXXXXX,6,2023,Not Available
D1013,Donor_D1013,40,Female,A+,Pune,XXXXXXXXXX,3,2024,Not Available
D1014,Donor_D1014,27,Female,B+,Kolkata,XXXXXXXXXX,6,2022,Not Available
D1015,Donor_D1015,22,Female,O-,Lucknow,XXXXXXXXXX,2,2024,Not Available
D1016,Donor_D1016,53,Female,B+,Jaipur,XXXXXXXXXX,8,2021,Not Available
D1017,Donor_D1017,51,Female,B+,Delhi,XXXXXXXXXX,2,2021,Not Available
D1018,Donor_D1018,48,Female,AB+,Pune,XXXXXXXXXX,7,2025,Not Available
D1019,Donor_D1019,27,Female,O-,Mumbai,XXXXXXXXXX,9,2025,Not Available
D1020,Donor_D1020,36,Female,A-,Indore,XXXXXXXXXX,1,2023,Not Available
D1021,Donor_D1021,49,Male,AB+,Noida,XXXXXXXXXX,8,2024,Not Available
D1022,Donor_D1022,18,Male,A-,Kolkata,XXXXXXXXXX,7,2021,Available
D1023,Donor_D1023,22,Female,B+,Bhopal,XXXXXXXXXX,6,2025,Not Available
D1024,Donor_D1024,21,Female,B+,Noida,XXXXXXXXXX,6,2024,Available
D1025,Donor_D1025,33,Male,AB+,Mumbai,XXXXXXXXXX,6,2025,Not Available
D1026,Donor_D1026,41,Female,AB+,Indore,XXXXXXXXXX,9,2025,Not Available
D1027,Donor_D1027,33,Male,A-,Mumbai,XXXXXXXXXX,2,2021,Available
D1028,Donor_D1028,19,Male,B-,Lucknow,XXXXXXXXXX,1,2021,Not Available
D1029,Donor_D1029,45,Male,A-,Delhi,XXXXXXXXXX,6,2025,Available
D1030,Donor_D1030,49,Male,AB+,Kolkata,XXXXXXXXXX,10,2022,Available
D1031,Donor_D1031,44,Male,AB-,Chandigarh,XXXXXXXXXX,8,2025,Available
D1032,Donor_D1032,37,Female,AB+,Delhi,XXXXXXXXXX,3,2025,Not Available
D1033,Donor_D1033,41,Male,AB-,Chandigarh,XXXXXXXXXX,10,2023,Not Available
D1034,Donor_D1034,29,Female,A+,Indore,XXXXXXXXXX,1,2023,Not Available
D1035,Donor_D1035,52,Female,AB+,Pune,XXXXXXXXXX,9,2023,Available
D1036,Donor_D1036,50,Male,A+,Bhopal,XXXXXXXXXX,1,2022,Available
D1037,Donor_D1037,50,Male,B-,Jaipur,XXXXXXXXXX,3,2022,Not Available
D1038,Donor_D1038,60,Female,A-,Delhi,XXXXXXXXXX,8,2025,Not Available
D1039,Donor_D1039,54,Male,AB-,Kolkata,XXXXXXXXXX,3,2023,Not Available
D1040,Donor_D1040,29,Male,A-,Mumbai,XXXXXXXXXX,4,2022,Not Available
D1041,Donor_D1041,20,Female,A+,Kolkata,XXXXXXXXXX,8,2021,Not Available
D1042,Donor_D1042,18,Female,AB-,Indore,XXXXXXXXXX,1,2025,Available
D1043,Donor_D1043,50,Male,A-,Chandigarh,XXXXXXXXXX,6,2024,Available
D1044,Donor_D1044,57,Female,AB+,Mumbai,XXXXXXXXXX,1,2025,Available
D1045,Donor_D1045,27,Male,B+,Jaipur,XXXXXXXXXX,1,2024,Not Available
D1046,Donor_D1046,60,Male,A+,Jaipur,XXXXXXXXXX,8,2023,Available
D1047,Donor_D1047,46,Male,A-,Delhi,XXXXXXXXXX,4,2024,Available
D1048,Donor_D1048,30,Female,A+,Indore,XXXXXXXXXX,1,2023,Available
D1049,Donor_D1049,29,Female,O+,Pune,XXXXXXXXXX,10,2021,Available
